"id","phase","priority","wave","area","title","description","refs","source","notes"
"1.4","1","P1","1","config","将 `quartsys-backend/main.py` 中的 `SECRET_KEY` 迁移为环境变量或部署配置读取","将 `quartsys-backend/main.py` 中的 `SECRET_KEY` 迁移为环境变量或部署配置读取","openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 1.4"
"1.5","1","P1","1","config","为前后端联调补充统一的配置说明、日志路径约定和配置错误提示语义","为前后端联调补充统一的配置说明、日志路径约定和配置错误提示语义","openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 1.5"
"2.1","2","P1","2","runtime","为后端补齐从 JWT 解析 current user 的公共依赖，并接入 profile、agent、notification 相关接口","为后端补齐从 JWT 解析 current user 的公共依赖，并接入 profile、agent、notification 相关接口","openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 2.1"
"2.2","2","P1","2","runtime","重构 `/api/user/profile` 读写逻辑，移除 `user.id=1` 假设并统一密码哈希方案","重构 `/api/user/profile` 读写逻辑，移除 `user.id=1` 假设并统一密码哈希方案","openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 2.2"
"2.3","2","P1","2","runtime","为通知能力新增持久化存储模型或表结构，替换内存 `_notifications` 列表","为通知能力新增持久化存储模型或表结构，替换内存 `_notifications` 列表","openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 2.3"
"2.4","2","P1","2","runtime","调整 `/api/agents` 创建与查询逻辑，使 Agent 记录绑定真实登录用户并按用户隔离返回","调整 `/api/agents` 创建与查询逻辑，使 Agent 记录绑定真实登录用户并按用户隔离返回","openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 2.4"
"2.5","2","P1","2","runtime","为 Agent 定义稳定状态机枚举与辅助字段（`status_reason`、`updated_at`、`last_run_at`、`last_error`），并统一列表 / 详情返回契约","为 Agent 定义稳定状态机枚举与辅助字段（`status_reason`、`updated_at`、`last_run_at`、`last_error`），并统一列表 / 详情返回契约","openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 2.5"
"3.1","3","P1","3","backend","重构 `/api/risk/trend`，移除随机值生成逻辑并输出当前 Risk 页面可直接消费的稳定 DTO","重构 `/api/risk/trend`，移除随机值生成逻辑并输出当前 Risk 页面可直接消费的稳定 DTO","openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 3.1"
"3.2","3","P1","3","backend","重构 `/api/risk/events`，移除静态示例事件并改为真实规则生成或结构化空态","重构 `/api/risk/events`，移除静态示例事件并改为真实规则生成或结构化空态","openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 3.2"
"3.3","3","P1","3","backend","重构 `/api/risk/fund-flow`，移除静态桑基图节点并接入真实计算结果或可解释空态","重构 `/api/risk/fund-flow`，移除静态桑基图节点并接入真实计算结果或可解释空态","openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 3.3"
"3.4","3","P1","3","backend","收敛 `/api/risk/ai-assessment` 的降级行为，失败时返回结构化失败而非伪业务文案","收敛 `/api/risk/ai-assessment` 的降级行为，失败时返回结构化失败而非伪业务文案","openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 3.4"
"3.5","3","P1","3","backend","重构 `/api/strategy/generate` 失败路径，移除 `TODO` 占位代码返回","重构 `/api/strategy/generate` 失败路径，移除 `TODO` 占位代码返回","openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 3.5"
"3.6","3","P1","3","backend","审核 `/api/alpha/recommend` 的降级逻辑，确保空结果或失败原因可被前端明确消费","审核 `/api/alpha/recommend` 的降级逻辑，确保空结果或失败原因可被前端明确消费","openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 3.6"
"3.7","3","P1","3","backend","补齐 `/api/simulation/account` 最小字段集、空持仓语义和资产汇总字段，确保前端无需补字段","补齐 `/api/simulation/account` 最小字段集、空持仓语义和资产汇总字段，确保前端无需补字段","openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 3.7"
"3.8","3","P1","3","backend","为 `/api/agents/{id}/start` 和 `/api/agents/{id}/stop` 增加可观测后台执行状态、停止语义和失败原因","为 `/api/agents/{id}/start` 和 `/api/agents/{id}/stop` 增加可观测后台执行状态、停止语义和失败原因","openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 3.8"
"4.1","4","P1","4","frontend","清理 `DashboardPage.tsx` 中的指数、个股、涨幅榜、新闻静态 fallback，改为空态或真实返回","清理 `DashboardPage.tsx` 中的指数、个股、涨幅榜、新闻静态 fallback，改为空态或真实返回","openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 4.1"
"4.2","4","P1","4","frontend","清理 `RiskPage.tsx` 中的 `figmaEvents`、`figmaAiAssessment`、`figmaFundFlow` 等静态业务块，改为真实结果或空态","清理 `RiskPage.tsx` 中的 `figmaEvents`、`figmaAiAssessment`、`figmaFundFlow` 等静态业务块，改为真实结果或空态","openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 4.2"
"4.3","4","P1","4","frontend","清理 `TradingPage.tsx` 中的 Figma demo positions，改为真实持仓或空态","清理 `TradingPage.tsx` 中的 Figma demo positions，改为真实持仓或空态","openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 4.3"
"4.4","4","P1","4","frontend","清理 `BacktestingPage.tsx` 中的 `fallbackRankings`，改为空态 / 错误态展示","清理 `BacktestingPage.tsx` 中的 `fallbackRankings`，改为空态 / 错误态展示","openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 4.4"
"4.5","4","P1","4","frontend","清理 `AiInsightsPage.tsx` 中仅用于视觉补位的推荐卡 fallback，改为真实结果或空态","清理 `AiInsightsPage.tsx` 中仅用于视觉补位的推荐卡 fallback，改为真实结果或空态","openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 4.5"
"4.6","4","P1","4","frontend","清理 `SettingsPage.tsx` 中的 `MOCK_LOGS` 和绕过统一封装的日志请求路径","清理 `SettingsPage.tsx` 中的 `MOCK_LOGS` 和绕过统一封装的日志请求路径","openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 4.6"
"4.7","4","P1","4","frontend","为 Dashboard、Risk、Trading、Backtesting、AI Insights、Settings 统一补充 loading、empty、error 三类状态，确保现有 UI 结构不变","为 Dashboard、Risk、Trading、Backtesting、AI Insights、Settings 统一补充 loading、empty、error 三类状态，确保现有 UI 结构不变","openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 4.7"
"4.8","4","P1","4","frontend","统一六个关键页面在 401/403 鉴权失效场景下的展示语义，禁止回退到匿名示例数据","统一六个关键页面在 401/403 鉴权失效场景下的展示语义，禁止回退到匿名示例数据","openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 4.8"
"5.1","5","P1","5","qa","为关键接口增加字段契约检查，覆盖 `risk/trend`、`simulation/account`、profile、notification、agent、`strategy/generate` 等高风险返回结构","为关键接口增加字段契约检查，覆盖 `risk/trend`、`simulation/account`、profile、notification、agent、`strategy/generate` 等高风险返回结构","openspec/changes/close-frontend-backend-integration-gaps/design.md;openspec/changes/close-frontend-backend-integration-gaps/tasks.md;openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 5.1"
"5.2","5","P1","5","qa","将 API 字段契约测试设为第一道自动化门禁，优先阻断 DTO 漂移","将 API 字段契约测试设为第一道自动化门禁，优先阻断 DTO 漂移","openspec/changes/close-frontend-backend-integration-gaps/design.md;openspec/changes/close-frontend-backend-integration-gaps/tasks.md;openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 5.2"
"5.3","5","P1","5","qa","建立 `登录 -> Dashboard` 主流程自动化冒烟，作为第二道自动化门禁","建立 `登录 -> Dashboard` 主流程自动化冒烟，作为第二道自动化门禁","openspec/changes/close-frontend-backend-integration-gaps/design.md;openspec/changes/close-frontend-backend-integration-gaps/tasks.md;openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 5.3"
"5.4","5","P1","5","qa","建立 Dashboard、Risk、Trading、Backtesting、AI Insights、Settings 六个关键页面的空态 / 错误态 / 未授权回归检查，作为第三道自动化门禁","建立 Dashboard、Risk、Trading、Backtesting、AI Insights、Settings 六个关键页面的空态 / 错误态 / 未授权回归检查，作为第三道自动化门禁","openspec/changes/close-frontend-backend-integration-gaps/design.md;openspec/changes/close-frontend-backend-integration-gaps/tasks.md;openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 5.4"
"5.5","5","P1","5","qa","为 profile、notification、risk、agent lifecycle 和 `strategy/generate` 增加最小可回归测试或脚本验证","为 profile、notification、risk、agent lifecycle 和 `strategy/generate` 增加最小可回归测试或脚本验证","openspec/changes/close-frontend-backend-integration-gaps/design.md;openspec/changes/close-frontend-backend-integration-gaps/tasks.md;openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 5.5"
"5.6","5","P1","5","qa","更新 `quartsys-fronted/docs/FRONTEND_BACKEND_INTEGRATION.md`，标记已清理与仍待处理的联接缺口","更新 `quartsys-fronted/docs/FRONTEND_BACKEND_INTEGRATION.md`，标记已清理与仍待处理的联接缺口","openspec/changes/close-frontend-backend-integration-gaps/design.md;openspec/changes/close-frontend-backend-integration-gaps/tasks.md;openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 5.6"
"5.7","5","P1","5","qa","记录剩余外部数据源依赖、部署配置项和上线前检查清单，避免后续联调阶段重复踩坑","记录剩余外部数据源依赖、部署配置项和上线前检查清单，避免后续联调阶段重复踩坑","openspec/changes/close-frontend-backend-integration-gaps/design.md;openspec/changes/close-frontend-backend-integration-gaps/tasks.md;openspec/changes/close-frontend-backend-integration-gaps/specs/ui-stable-page-binding/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/backend-placeholder-elimination/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/authenticated-user-runtime-state/spec.md;openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 5.7"
