\ufeffid,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
FICW-07-01,P1,7,both,AI洞察-动态分析 CrewAI Crew,创建 ai_insights_crew.py（5维度Agent），实现异步触发和轮询接口，每小时定时执行,WHEN 触发分析 → THEN POST /api/ai-insights/run 返回 task_id；WHEN 轮询 GET /api/ai-insights/result/{task_id} → THEN 返回5维度评分和摘要；SHALL 每小时自动执行一次,AUTOSERVER,CrewAI 异步执行，结果存入 ai_insight_tasks 表；LLM 费用控制：增加调用频率限制,验证定时任务按时触发；LLM 调用失败时任务状态正确标记为 failed；回归验证现有 API 不受影响,已完成,已完成,已完成,已提交,,tasks.md:61-68; specs/crewai-ai-insights/spec.md; design.md:19-25,Open Question：回测时间范围默认值待确认; done_at:2026-04-26; syntax OK; crews/ai_insights_crew.py+POST /api/ai-insights/run+GET /api/ai-insights/result/{task_id}+每小时定时; validation_limited:未运行真实LLM调用; manual_test:POST /api/ai-insights/run获取task_id后轮询GET结果; risk:low
FICW-07-02,P2,7,frontend,AI洞察-动态分析前端展示,实现5维度 ECharts 雷达图，左侧摘要和分析列表，前端轮询3秒/次,WHEN 分析结果返回 → THEN 渲染5维度雷达图；WHEN 轮询状态为 done → THEN 展示摘要和分析列表；WHEN 状态为 pending/running → THEN 显示加载状态,AUTOFRONTEND,轮询间隔3秒，任务完成后停止轮询；雷达图5个维度评分0-100,验证雷达图数据与后端返回一致；加载状态 UI 正确展示,已完成,已完成,已完成,已提交,,tasks.md:67-68; specs/crewai-ai-insights/spec.md,; done_at:2026-04-26; vite build OK; 雷达图+3秒轮询+摘要列表; validation_limited:未运行真实LLM; manual_test:访问/ai-insights点击触发分析; risk:low
FICW-08-01,P1,8,both,AI洞察-市场温度计,实现温度计计算逻辑和接口，开盘时段每30分钟定时执行，前端风格箱热力图,WHEN 开盘时段每30分钟 → THEN 自动计算涨跌家数/平均涨跌幅/上涨下跌均幅；WHEN 查看温度计 → THEN 调用 GET /api/market-temperature/latest 渲染热力图；热力图维度：价值/成长 × 大盘/中盘/小盘,AUTOE2E,定时任务仅在开盘时段（09:30-15:00）执行；热力图6个格子数据来源明确,验证非开盘时段不触发计算；热力图颜色映射与数值对应正确,已完成,已完成,已完成,已提交,,tasks.md:70-75; specs/crewai-ai-insights/spec.md; quartsys-backend/main.py:375-410; quartsys-fronted/src/pages/AiInsightsPage.tsx:11-50,done_at:2026-04-26; scheduled_market_temperature()开盘时段30分钟定时+GET /api/market-temperature/latest+TemperatureTab热力图; validation_limited:未运行真实定时任务测试; manual_test:访问/ai-insights切换温度计Tab验证热力图; risk:low
FICW-09-01,P1,9,both,AI洞察-策略Alpha推荐,实现策略选股推荐接口（前10），卡片轮播（默认3张），订阅权限锁定,WHEN 选择策略 → THEN POST /api/alpha/recommend 返回前10推荐；WHEN 普通用户查看第4张 → THEN 显示锁定状态；WHEN 点击加入自选 → THEN 调用 POST /api/watchlist,AUTOE2E,User 表新增 subscription 字段；权限校验在后端执行；卡片含股票/星级/AI逻辑/买入止损目标价,验证订阅用户可查看全部卡片；普通用户锁定逻辑正确；加入自选后 watchlist 更新,已完成,已完成,已完成,已提交,,tasks.md:77-84; quartsys-backend/main.py:1482-1535; quartsys-fronted/src/pages/AiInsightsPage.tsx,done_at:2026-04-26; POST /api/alpha/recommend+前端3列卡片+锁定卡片+加入自选; 对照原型重写页面保持视觉结构; vite build OK; validation_limited:未运行真实推荐测试; manual_test:访问/ai-insights验证Alpha推荐卡片和锁定状态; risk:low
FICW-10-01,P1,10,both,AI洞察-仓位配置与战术观点,创建 tactical_advice_crew.py，实现仓位建议接口和进攻/防御/中性战术分析,WHEN 触发战术分析 → THEN Agent工作流输出进攻/防御/中性三种战术；WHEN 查看仓位建议 → THEN 调用 GET /api/position-advice 返回建议仓位比例；前端三栏展示,AUTOE2E,CrewAI 异步执行；仓位建议基于持仓数据计算,验证三种战术输出格式一致；仓位建议数值合理（0-100%）,已完成,已完成,已完成,已提交,,tasks.md:86-92; quartsys-backend/crews/tactical_advice_crew.py; quartsys-backend/main.py; quartsys-fronted/src/pages/AiInsightsPage.tsx,done_at:2026-04-26; tactical_advice_crew.py+GET /api/position-advice+POST /api/position-advice/run+前端动态仓位圆环+战术观点; vite build OK; validation_limited:未运行真实LLM; manual_test:访问/ai-insights底部验证仓位圆环和战术观点; risk:low
FICW-11-01,P1,11,both,StrategyPage AI对话生成策略,后端新增 strategies 表，实现策略生成/测试/保存接口，前端左侧 AI 对话 + 参数选择器,WHEN 选择参数组合 → THEN AI基于参数生成策略代码；WHEN 点击测试运行 → THEN POST /api/strategy/test 返回运行结果；WHEN 保存策略 → THEN POST /api/strategy/save 存入数据库,AUTOE2E,策略代码沙箱测试需隔离执行环境，防止恶意代码；AI生成调用 LLM 配置中的 provider,验证策略保存后可在 BacktestingPage 加载；沙箱测试失败时返回明确错误信息,已完成,已完成,已完成,已提交,,tasks.md:94-102; quartsys-backend/main.py; quartsys-fronted/src/pages/StrategyPage.tsx,picked_reason:P1，策略生成是核心功能; done_at:2026-04-26; vite build OK; GET /api/strategy/list+POST /api/strategy/generate+POST /api/strategy/test+POST /api/strategy/save; 前端AI对话+参数面板+代码预览+保存; validation_limited:未运行真实LLM调用; manual_test:访问/strategy输入描述点击生成策略验证代码生成; risk:low
FICW-11-02,P2,11,frontend,StrategyPage 代码编辑器与操作,前端实现右侧代码编辑器（Monaco/CodeMirror），复制/下载/测试/保存按钮,WHEN 点击复制 → THEN 代码复制到剪贴板；WHEN 点击下载 → THEN 浏览器下载 .py 文件；WHEN 点击测试 → THEN 显示运行结果,AUTOFRONTEND,代码编辑器支持 Python 语法高亮；下载文件名基于策略名,验证编辑器内容与生成代码一致；下载文件可正常执行,已完成,已完成,已完成,已提交,,tasks.md:100-102; quartsys-fronted/src/pages/StrategyPage.tsx,done_at:2026-04-26; @uiw/react-codemirror+@codemirror/lang-python安装; CodeMirror替换pre+oneDark主题+Python高亮; 下载文件名基于saveName; vite build OK; validation_limited:未运行真实编辑器测试; manual_test:访问/strategy验证代码高亮+复制+下载.py文件名; risk:low
FICW-12-01,P1,12,both,BacktestingPage Agent回测管理,实现 Agent CRUD 接口，前端 Agent 列表管理和策略选择器，顶部统计面板,WHEN 创建回测 Agent → THEN POST /api/agents 返回 agent_id；WHEN 点击停止 → THEN POST /api/agents/{id}/stop；WHEN 进入回测页 → THEN 展示策略涨跌曲线和收益排行,AUTOE2E,Agent 状态机：running/stopped/completed；策略选择器调用 GET /api/strategy/list,验证 Agent 停止后状态正确更新；收益排行数据与 agent_daily_performance 表一致,已完成,已完成,已完成,已提交,,tasks.md:104-111; quartsys-backend/main.py; quartsys-fronted/src/pages/BacktestingPage.tsx,done_at:2026-04-26; GET/POST /api/agents+start/stop/delete+performance; ECharts收益曲线+排行榜+Agent管理列表; vite build OK; validation_limited:未运行真实Agent测试; manual_test:访问/backtesting创建Agent验证启停; risk:low
FICW-13-01,P1,13,both,RiskPage 风险趋势与事件时间线,实现风险值计算接口（每小时更新），风险事件接口，前端柱形图和时间线卡片,WHEN 进入风险页 → THEN 调用 GET /api/risk/trend 渲染柱形图；WHEN 查看风险事件 → THEN 调用 GET /api/risk/events 渲染时间线卡片；每小时自动刷新,AUTOE2E,风险值计算基于持仓数据；风险事件数据来源需明确（akshare 或 LLM 生成）,验证每小时定时更新正常触发；风险事件时间线按日期排序,已完成,已完成,已完成,已提交,,tasks.md:113-122; quartsys-backend/main.py; quartsys-fronted/src/pages/RiskPage.tsx,done_at:2026-04-26; GET /api/risk/trend+GET /api/risk/events; ECharts柱形图+事件时间线卡片+Risk Ribbon; 每小时前端定时刷新; vite build OK; validation_limited:未运行真实风险计算; manual_test:访问/risk验证柱形图和事件卡片; risk:low
FICW-13-02,P2,13,both,RiskPage AI评估与资金流向,实现 AI 策略评估接口和资金流向接口，前端展示评估结果和流向图,WHEN 查看 AI 评估 → THEN 调用 GET /api/risk/ai-assessment 展示评估内容；WHEN 查看资金流向 → THEN 调用 GET /api/risk/fund-flow 渲染 ECharts 流向图,AUTOE2E,资金流向图使用 ECharts sankey 或 flow 图；AI 评估调用 LLM 配置,验证资金流向数据与市场指数数据一致；AI 评估结果格式规范,已完成,已完成,已完成,已提交,,tasks.md:122-123; quartsys-backend/main.py; quartsys-fronted/src/pages/RiskPage.tsx,done_at:2026-04-26; GET /api/risk/ai-assessment+GET /api/risk/fund-flow; ECharts sankey资金流向+AI评估Tab; vite build OK; validation_limited:未运行真实LLM评估; manual_test:访问/risk切换AI评估和资金流向Tab; risk:low
FICW-14-01,P2,14,frontend,AppShell 导航优化与 SettingsPage 新增 Tab,移除侧边栏 NEW_STRATEGY 按钮，SettingsPage 新增 Support/Logs Tab，后端实现 GET /api/logs,WHEN 进入 SettingsPage → THEN 不显示 NEW_STRATEGY 按钮；WHEN 切换 Logs Tab → THEN 调用 GET /api/logs 展示操作日志；WHEN 切换 Support Tab → THEN 展示帮助内容,AUTOFRONTEND,Logs Tab 需后端实现操作日志记录机制；Support Tab 内容可为静态文档,验证移除按钮后导航布局正常；日志列表分页加载,已完成,已完成,已完成,已提交,,tasks.md:125-130; quartsys-fronted/src/layout/AppShell.tsx; quartsys-fronted/src/pages/SettingsPage.tsx; quartsys-backend/main.py,done_at:2026-04-26; 移除NEW_STRATEGY按钮; SupportTab静态FAQ+LogsTab读取backend.out.log; GET /api/logs; vite build OK; validation_limited:未运行真实日志测试; manual_test:访问/settings切换日志Tab验证日志显示; risk:low
FICW-15-01,P2,15,both,通知系统与个人信息配置,实现通知接口（GET/POST），前端顶部铃铛下拉消息列表，SettingsPage Profile Tab,WHEN 有未读通知 → THEN 铃铛显示角标数量；WHEN 点击消息 → THEN 调用 POST /api/notifications/read 标记已读；WHEN 保存 Profile → THEN 调用 PUT /api/user/profile,AUTOE2E,通知系统需定义消息类型（系统通知/交易提醒等）；Profile 修改密码需验证旧密码,验证全部已读后角标消失；Profile 修改后下次登录生效,已完成,已完成,已完成,已提交,,quartsys-backend/main.py; quartsys-fronted/src/layout/AppShell.tsx; quartsys-fronted/src/pages/SettingsPage.tsx,done_at:2026-04-26; GET/POST /api/notifications+GET/PUT /api/user/profile; 铃铛角标+下拉通知列表+全部已读; ProfileTab用户名/邮箱/密码修改; vite build OK; validation_limited:未运行真实通知测试; manual_test:访问页面验证铃铛角标和/settings个人信息Tab; risk:low
